[Version1]
FullName,Value

Controller.1 gain.i1,
Controller.1 gain.o1,
Controller.ANY_TO_BOOL.i1,
Controller.ANY_TO_BOOL.o1,
Controller.ANY_TO_DINT.i1,
Controller.ANY_TO_DINT.o1,
Controller.ANY_TO_INT.i1,
Controller.ANY_TO_INT.o1,
Controller.Micro850.Micro850.__SYSVA_ABORT_CYCLE,FALSE
Controller.Micro850.Micro850.__SYSVA_CCEXEC,FALSE
Controller.Micro850.Micro850.__SYSVA_CYCLECNT,2266787
Controller.Micro850.Micro850.__SYSVA_CYCLEDATE,T#1h50m32s610ms
Controller.Micro850.Micro850.__SYSVA_FIRST_SCAN,FALSE
Controller.Micro850.Micro850.__SYSVA_KVBCERR,FALSE
Controller.Micro850.Micro850.__SYSVA_KVBPERR,FALSE
Controller.Micro850.Micro850.__SYSVA_MAJ_ERR_HALT,FALSE
Controller.Micro850.Micro850.__SYSVA_POWERUP_BIT,FALSE
Controller.Micro850.Micro850.__SYSVA_PROJ_INCOMPLETE,0
Controller.Micro850.Micro850.__SYSVA_REMOTE,TRUE
Controller.Micro850.Micro850.__SYSVA_RESMODE,3
Controller.Micro850.Micro850.__SYSVA_RESNAME,'CONTROLLER\MICRO850\MICRO850'
Controller.Micro850.Micro850.__SYSVA_SCANCNT,2266748
Controller.Micro850.Micro850.__SYSVA_SUSPEND_ID,0
Controller.Micro850.Micro850.__SYSVA_TCYCURRENT,T#3ms
Controller.Micro850.Micro850.__SYSVA_TCYCYCTIME,T#0s
Controller.Micro850.Micro850.__SYSVA_TCYMAXIMUM,T#8ms
Controller.Micro850.Micro850.__SYSVA_TCYOVERFLOW,0
Controller.Micro850.Micro850.__SYSVA_TCYWDG,2000
Controller.Micro850.Micro850.__SYSVA_USER_DATA_LOST,FALSE
Controller.Micro850.Micro850._IO_EM_DI_00,TRUE
Controller.Micro850.Micro850._IO_EM_DI_01,FALSE
Controller.Micro850.Micro850._IO_EM_DI_02,FALSE
Controller.Micro850.Micro850._IO_EM_DI_03,FALSE
Controller.Micro850.Micro850._IO_EM_DI_04,FALSE
Controller.Micro850.Micro850._IO_EM_DI_05,FALSE
Controller.Micro850.Micro850._IO_EM_DI_06,FALSE
Controller.Micro850.Micro850._IO_EM_DI_07,FALSE
Controller.Micro850.Micro850._IO_EM_DI_08,TRUE
Controller.Micro850.Micro850._IO_EM_DI_09,TRUE
Controller.Micro850.Micro850._IO_EM_DI_10,FALSE
Controller.Micro850.Micro850._IO_EM_DI_11,FALSE
Controller.Micro850.Micro850._IO_EM_DI_12,FALSE
Controller.Micro850.Micro850._IO_EM_DI_13,FALSE
Controller.Micro850.Micro850._IO_EM_DI_14,FALSE
Controller.Micro850.Micro850._IO_EM_DI_15,FALSE
Controller.Micro850.Micro850._IO_EM_DI_16,FALSE
Controller.Micro850.Micro850._IO_EM_DI_17,FALSE
Controller.Micro850.Micro850._IO_EM_DI_18,FALSE
Controller.Micro850.Micro850._IO_EM_DI_19,FALSE
Controller.Micro850.Micro850._IO_EM_DI_20,FALSE
Controller.Micro850.Micro850._IO_EM_DI_21,FALSE
Controller.Micro850.Micro850._IO_EM_DI_22,FALSE
Controller.Micro850.Micro850._IO_EM_DI_23,FALSE
Controller.Micro850.Micro850._IO_EM_DI_24,FALSE
Controller.Micro850.Micro850._IO_EM_DI_25,FALSE
Controller.Micro850.Micro850._IO_EM_DI_26,FALSE
Controller.Micro850.Micro850._IO_EM_DI_27,TRUE
Controller.Micro850.Micro850._IO_EM_DO_00,TRUE
Controller.Micro850.Micro850._IO_EM_DO_01,FALSE
Controller.Micro850.Micro850._IO_EM_DO_02,FALSE
Controller.Micro850.Micro850._IO_EM_DO_03,FALSE
Controller.Micro850.Micro850._IO_EM_DO_04,FALSE
Controller.Micro850.Micro850._IO_EM_DO_05,FALSE
Controller.Micro850.Micro850._IO_EM_DO_06,TRUE
Controller.Micro850.Micro850._IO_EM_DO_07,TRUE
Controller.Micro850.Micro850._IO_EM_DO_08,FALSE
Controller.Micro850.Micro850._IO_EM_DO_09,FALSE
Controller.Micro850.Micro850._IO_EM_DO_10,TRUE
Controller.Micro850.Micro850._IO_EM_DO_11,FALSE
Controller.Micro850.Micro850._IO_EM_DO_12,FALSE
Controller.Micro850.Micro850._IO_EM_DO_13,FALSE
Controller.Micro850.Micro850._IO_EM_DO_14,FALSE
Controller.Micro850.Micro850._IO_EM_DO_15,FALSE
Controller.Micro850.Micro850._IO_EM_DO_16,FALSE
Controller.Micro850.Micro850._IO_EM_DO_17,FALSE
Controller.Micro850.Micro850._IO_EM_DO_18,FALSE
Controller.Micro850.Micro850._IO_EM_DO_19,FALSE
Controller.Micro850.Micro850._IO_P1_AI_00,65271
Controller.Micro850.Micro850._IO_P1_AI_01,65259
Controller.Micro850.Micro850._IO_P1_AI_02,16660
Controller.Micro850.Micro850._IO_P1_AI_03,2123
Controller.Micro850.Micro850._IO_P2_DO_00,FALSE
Controller.Micro850.Micro850._IO_P2_DO_01,FALSE
Controller.Micro850.Micro850._IO_P2_DO_02,FALSE
Controller.Micro850.Micro850._IO_P2_DO_03,FALSE
Controller.Micro850.Micro850.AlarmAuxDriveForceTestFail,FALSE
Controller.Micro850.Micro850.AlarmBlinkerTestFail,FALSE
Controller.Micro850.Micro850.AlarmBreakwayTestFail,FALSE
Controller.Micro850.Micro850.AlarmDriveForceTestFail,FALSE
Controller.Micro850.Micro850.AlarmHeatingTestFail,FALSE
Controller.Micro850.Micro850.AlarmLightCurtainCrossed,FALSE
Controller.Micro850.Micro850.AlarmMove1Fail,
Controller.Micro850.Micro850.AlarmMove2Fail,
Controller.Micro850.Micro850.AlarmNumber,
Controller.Micro850.Micro850.AlarmRemoteMotionTest,FALSE
Controller.Micro850.Micro850.Breakway1TestApproved,
Controller.Micro850.Micro850.Breakway1TestDisaproved,
Controller.Micro850.Micro850.Breakway1TestFinished,
Controller.Micro850.Micro850.Breakway1TestRun,
Controller.Micro850.Micro850.bStopOp20,FALSE
Controller.Micro850.Micro850.bStopOp201,FALSE
Controller.Micro850.Micro850.bStopOp30,FALSE
